asset_id,width,height,uri,labels
43403,832,832,s3://mls.godfather/data_drives/disk7/dataNode/quentin-logo-test-3/image/0/0/0/4/00043403.jpg," 2 0.5609453274653509 0.6642562792851374 0.1105190423818735 0.03000750908484826
 2 0.5683817680065448 0.6301752970768855 0.13811885393582857 0.028876231266902044
 2 0.5709363313821646 0.6136782352740948 0.13561384494488055 0.02984333038330078
 2 0.607517407490657 0.35731372466454137 0.11481809616088867 0.027156939873328574
 2 0.5949736191676214 0.3419958261343149 0.13411701642549956 0.027720157916729268 
 1 0.5661 0.619 0.2188 0.0938
1 0.598 0.3456 0.2368 0.0709
"
2142,832,832,s3://mls.godfather/data_drives/disk1/dataNode/quentin-logo-test-3/image/0/0/0/0/00002142.jpg," 2 0.2978515625 0.74951171875 0.041015625 0.0361328125
 2 0.29833984375 0.6982421875 0.0400390625 0.03515625
 2 0.55419921875 0.64990234375 0.0224609375 0.0126953125
 2 0.29833984375 0.6455078125 0.0400390625 0.03515625
 2 0.5556640625 0.63037109375 0.044921875 0.0185546875
 2 0.29638671875 0.59326171875 0.0419921875 0.0380859375
 2 0.2958984375 0.54150390625 0.041015625 0.0361328125
 2 0.7874886439396784 0.5201111940237192 0.09500488868126503 0.0585475334754357
 2 0.2839217002575214 0.42341355177072376 0.06025207959688627 0.053342415736271784
 2 0.79150390625 0.3798828125 0.0361328125 0.0078125
 2 0.67529296875 0.38037109375 0.0380859375 0.0107421875
 2 0.67041015625 0.3671875 0.0244140625 0.009765625
 2 0.22314453125 0.33203125 0.0537109375 0.017578125
 2 0.21774183786832368 0.3113319048514733 0.06155663270216722 0.01857895117539626
 2 0.6852395717914288 0.26325029593247634 0.10196935213529147 0.04372618748591496
 2 0.22373651541196382 0.252601485985976 0.03400650391211876 0.01679686399606558
 2 0.19332906833061805 0.25246835671938384 0.028522363075843223 0.017423244623037484
 2 0.2207038952754094 0.18606228094834548 0.07512679466834435 0.028034210205078125
 2 0.22602463685549223 0.08573177456855774 0.06513223281273475 0.04476820047085102 
 1 0.2224 0.396 0.0385 0.0373
1 0.2849 0.4207 0.0553 0.0938
1 0.2212 0.0859 0.0769 0.0853
1 0.6845 0.2656 0.1094 0.0601
"
13475,832,832,s3://mls.godfather/data_drives/disk4/dataNode/quentin-logo-test-3/image/0/0/0/1/00013475.jpg," 2 0.5815392090724065 0.7651974971477802 0.033396977644700274 0.023707243112417366
 2 0.6362089377183181 0.7663776691143329 0.060822486877441406 0.03552744938777043
 2 0.68994140625 0.76416015625 0.0400390625 0.0263671875
 2 0.5419921875 0.7578125 0.017578125 0.009765625
 2 0.2974383555925809 0.7554837740384616 0.0556640808398907 0.0634014423076923
 2 0.3861395212320181 0.7740645041832557 0.1343416434067946 0.11047421968900241
 2 0.1720669728059035 0.7483422572796161 0.05947562364431528 0.055776229271521933
 2 0.642578125 0.71484375 0.029296875 0.03125
 2 0.609375 0.71240234375 0.05078125 0.0380859375
 2 0.693234920501709 0.7108460573049692 0.07552521045391376 0.03847290919377254
 2 0.545650317118718 0.7101611357468826 0.09639890377338116 0.05508290804349459
 2 0.70556640625 0.66552734375 0.0322265625 0.0244140625
 2 0.611328125 0.66650390625 0.044921875 0.0283203125
 2 0.6708984375 0.666015625 0.0390625 0.02734375
 2 0.578125 0.66455078125 0.021484375 0.0244140625
 2 0.6422852002657377 0.6644531396719126 0.0205078125 0.0263671875
 2 0.7336726188659668 0.6608360363886907 0.027666752155010518 0.022919214688814603
 2 0.5430665016174316 0.6579102002657377 0.06380704733041617 0.04382514953613281
 2 0.3530556330314049 0.6372201626117413 0.0977781552534837 0.03324053837702824
 2 0.685546875 0.6220703125 0.060546875 0.021484375
 2 0.6376953125 0.623046875 0.0234375 0.01953125
 2 0.595703125 0.6220703125 0.046875 0.021484375
 2 0.8411977841303899 0.5585157321049616 0.15961536994347206 0.0846408697275015
 2 0.3506276607513428 0.5383028433873103 0.18925076264601487 0.07698187461266151
 2 0.1251003902692061 0.5362406693972074 0.17104549132860625 0.08731654974130484
 2 0.6241161089677078 0.5482161595271184 0.2750079448406513 0.1375551957350511
 2 0.3499417213293222 0.46037870187025803 0.17943142010615423 0.07715214215792142
 2 0.1258817956997798 0.46385409281804013 0.1848530494249784 0.09724683028001052
 2 0.5450232028961182 0.36778631577124965 0.037938448098989636 0.023750708653376654
 2 0.57568359375 0.27294921875 0.02558598151573768 0.01777344483595628
 2 0.5925781176640437 0.2499023859317486 0.04335938967191256 0.02304687866797814
 2 0.6533834384037898 0.24185429169581488 0.028423822843111478 0.011466007966261644
 2 0.62841796875 0.2421875 0.0185546875 0.01171875
 2 0.5711388037754939 0.24245041150313157 0.016977200141319863 0.01494893660912147
 2 0.5913691520690918 0.23368713488945594 0.03266129126915565 0.02133466647221492
 2 0.5513471456674429 0.23643395533928505 0.032946219811072715 0.02803521889906663
 2 0.6166805120614859 0.22744515308967003 0.030686598557692308 0.017315185987032376
 2 0.638671875 0.22509765625 0.021484375 0.0087890625
 2 0.5765482278970572 0.22184401292067307 0.03042114697969877 0.021984577178955078
 2 0.6100298624772292 0.21095470281747672 0.03754590107844426 0.019450847919170674
 2 0.3721906772026649 0.223800017283513 0.09174335919893704 0.0761584868797889 
 1 0.6268 0.5451 0.256 0.1214
1 0.6412 0.3786 0.1166 0.2067
1 0.8359 0.5481 0.155 0.0913
1 0.7915 0.3906 0.0733 0.2019
1 0.3528 0.5012 0.1743 0.1514
1 0.1268 0.497 0.1647 0.143
"
31594,832,832,s3://mls.godfather/data_drives/disk4/dataNode/quentin-logo-test-3/image/0/0/0/3/00031594.jpg," 2 0.6390166282653809 0.8424101976247934 0.021616202134352464 0.07607804811917819
 2 0.2879626475847684 0.700281730064979 0.031299279286311224 0.07726185138408954
 2 0.3008229090617253 0.6422029275160569 0.01623236216031588 0.031762123107910156
 2 0.24443608063917893 0.6117810102609488 0.03795135938204252 0.09404277801513672
 2 0.21798455715179443 0.6027370782998892 0.04407730469336876 0.0954127311706543
 2 0.31260740756988525 0.580567139845628 0.038861989974975586 0.09578646146334134
 2 0.31235284071702224 0.28645185323861927 0.06648826599121094 0.062019641582782455
 2 0.3838973045349121 0.2785236652080829 0.09746874295748197 0.16219520568847656 
 1 0.2326 0.6088 0.1046 0.1334
"
7562,832,832,s3://mls.godfather/data_drives/disk4/dataNode/quentin-logo-test-3/image/0/0/0/0/00007562.jpg," 2 0.34696908180530256 0.2347359611437871 0.5971847130702093 0.3432692839549138
 2 0.15520924788254958 0.09893384346595177 0.07670259475708008 0.05291271209716797
 2 0.3079312489582942 0.11991739158446972 0.2571050753960243 0.1848213512163896
 2 0.4912109375 0.01171875 0.01953125 0.005859375
 2 0.47314453125 0.01123046875 0.0146484375 0.0048828125
 2 0.5502631664276123 0.008032822981476784 0.05365133285522461 0.019828981791551296 
 1 0.3041 0.1166 0.2067 0.1442
"
37198,832,832,s3://mls.godfather/data_drives/disk4/dataNode/quentin-logo-test-3/image/0/0/0/3/00037198.jpg," 2 0.5020510049966666 0.6611406252934382 0.024250874152550332 0.08063573103684646 
 1 0.5024 0.6617 0.0264 0.0853
"
30976,832,832,s3://mls.godfather/data_drives/disk4/dataNode/quentin-logo-test-3/image/0/0/0/3/00030976.jpg," 2 0.49951171875 0.712890625 0.0283203125 0.009765625
 2 0.45849609375 0.71337890625 0.0478515625 0.0107421875
 2 0.5322265625 0.7119140625 0.033203125 0.0078125
 2 0.4975348756863521 0.559618876530574 0.7274132233399612 0.13154924832857573
 2 0.51533920948322 0.34436928308927095 0.30151965067936826 0.18318884189312273 
 1 0.4958 0.3486 0.4555 0.2404
"
14862,832,832,s3://mls.godfather/data_drives/disk6/dataNode/quentin-logo-test-3/image/0/0/0/1/00014862.jpg,"  
 1 0.5024 0.4032 0.2356 0.3425
"
45190,832,832,s3://mls.godfather/data_drives/disk7/dataNode/quentin-logo-test-3/image/0/0/0/4/00045190.jpg," 2 0.81274780860314 0.46773565732515776 0.24088096618652344 0.1206362064068134
 2 0.3650145622400137 0.4514840291096614 0.2819028084094708 0.3032943102029654 
 1 0.3023 0.3804 0.3954 0.4579
"
3379,832,832,s3://mls.godfather/data_drives/disk3/dataNode/quentin-logo-test-3/image/0/0/0/0/00003379.jpg," 2 0.5282823305863601 0.6014766693115234 0.06511867963350736 0.01738907740666316
 2 0.3476562133202186 0.5864257078904372 0.0546875 0.0263671875 
 1 0.5968 0.4219 0.0373 0.0505
"
